year,match_time,stage,venue,home_team,away_team,attendance,referee,score
1998,15 Jun 1998 - 14:30 ,Group G,Stade V�lodrome,England,Tunisia,55000.0,OKADA Masayoshi (JPN),2-0
1998,15 Jun 1998 - 17:30 ,Group G,Stade de Gerland,Romania,Colombia,39100.0,LIM KEE CHONG An Yan (MRI),1-0
1998,15 Jun 1998 - 21:00 ,Group F,Parc des Princes,Germany,USA,45500.0,BELQOLA Said (MAR),2-0
1998,16 Jun 1998 - 17:30 ,Group A,Stade du Parc Lescure,Scotland,Norway,31800.0,VAGNER Laszlo (HUN),1-1
1998,16 Jun 1998 - 21:00 ,Group A,La Beaujoire,Brazil,Morocco,35500.0,LEVNIKOV Nikolai (RUS),3-0
1998,17 Jun 1998 - 17:30 ,Group B,Stade Geoffroy Guichard,Chile,Austria,30600.0,EL GHANDOUR Gamal (EGY),1-1
1998,17 Jun 1998 - 21:00 ,Group B,La Mosson,Italy,Cameroon,29800.0,LENNIE Edward (AUS),3-0
1998,18 Jun 1998 - 17:30 ,Group C,Stade Municipal,South Africa,Denmark,33500.0,TORO RENDON John (COL),1-1
1998,18 Jun 1998 - 21:00 ,Group C,Stade de France,France,Saudi Arabia,80000.0,BRIZIO CARTER Arturo (MEX),4-0
1998,19 Jun 1998 - 17:30 ,Group D,Parc des Princes,Nigeria,Bulgaria,45500.0,SANCHEZ YANTEN Mario (CHI),1-0
1998,19 Jun 1998 - 21:00 ,Group D,Stade Geoffroy Guichard,Spain,Paraguay,30600.0,McLEOD Ian (RSA),0-0
1998,20 Jun 1998 - 14:30 ,Group H,La Beaujoire,Japan,Croatia,35500.0,RAMDHAN Ramesh (TRI),0-1
1998,20 Jun 1998 - 17:30 ,Group E,Stade du Parc Lescure,Belgium,Mexico,31800.0,DALLAS Hugh (SCO),2-2
1998,20 Jun 1998 - 21:00 ,Group E,Stade V�lodrome,Netherlands,Korea Republic,55000.0,WOJCIK Ryszard (POL),5-0
1998,21 Jun 1998 - 14:30 ,Group F,Stade Felix Bollaert,Germany,Yugoslavia,38100.0,NIELSEN Kim Milton (DEN),2-2
1998,21 Jun 1998 - 17:30 ,Group H,Parc des Princes,Argentina,Jamaica,45500.0,PEDERSEN Rune (NOR),5-0
1998,21 Jun 1998 - 21:00 ,Group F,Stade de Gerland,USA,Iran,39100.0,MEIER Urs (SUI),1-2
1998,22 Jun 1998 - 17:30 ,Group G,La Mosson,Colombia,Tunisia,29800.0,HEYNEMANN Bernd (GER),1-0
1998,22 Jun 1998 - 21:00 ,Group G,Stade Municipal,Romania,England,33500.0,BATTA Marc (FRA),2-1
1998,23 Jun 1998 - 16:00 ,Group B,La Beaujoire,Chile,Cameroon,35500.0,VAGNER Laszlo (HUN),1-1
1998,23 Jun 1998 - 16:00 ,Group B,Stade de France,Italy,Austria,80000.0,DURKIN Paul (ENG),2-1
1998,23 Jun 1998 - 21:00 ,Group A,Stade V�lodrome,Brazil,Norway,55000.0,BAHARMAST Esse (USA),1-2
1998,23 Jun 1998 - 21:00 ,Group A,Stade Geoffroy Guichard,Scotland,Morocco,30600.0,BUJSAIM Ali (UAE),0-3
1998,24 Jun 1998 - 16:00 ,Group C,Stade de Gerland,France,Denmark,39100.0,COLLINA Pierluigi (ITA),2-1
